source,author,title,description,url,published_at,content
Biztoc.com,benzinga.com,"Floki Jumps 23% In 7 Days: What's Powering The Relative Strength Against Dogecoin, Shiba Inu?","Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key partnerships as drivers.
Cryptocurrency
Price 
Market Cap
24-Ho…",https://biztoc.com/x/ebe41bb320a893b0,2025-04-30T15:13:37Z,"Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key par… [+138 chars]"
Biztoc.com,benzinga.com,"Dogecoin, Shiba Inu Spike But Floki And Bonk Are Stars Of Monday's Meme Rally","Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.
What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a two-month high of $0.00009044 late in the evening, representi…",https://biztoc.com/x/7e946de0cb534cdb,2025-04-29T03:26:06Z,"Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a tw… [+146 chars]"
Biztoc.com,benzinga.com,"Scottie Pippen Declares 'Altcoin Season' As Ethereum, XRP, Dogecoin, Shiba Inu Rally","Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narrative.
What Happened: Six-time NBA champion Scottie Pippen j…",https://biztoc.com/x/bfa63930338be30c,2025-05-12T17:13:04Z,"Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narr… [+146 chars]"
Biztoc.com,benzinga.com,Pepe Up 3% As 'Dogecoin Millionaire' Says It May Become 'The Best Trade Of My Life',"Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
 $0.00001497
$6.3 billion
+3% 
+10% 
Dogecoin (CRYPTO: DOGE)
 $0.2374
…",https://biztoc.com/x/3d17b74b51176fc4,2025-05-23T15:51:41Z,Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendPepe (CRYPTO: PEPE)$0.00001497$6.3 b… [+127 chars]
ZyCrypto,Aliyu Pokima,"$1 Trillion Bull Storm Projected for Dogecoin, XRP, Solana, Cardano, Shiba Inu as Traders Lock-In New Highs",Projections for a $1 DOGE price resurface with holders drawing lines with leading altcoins ahead of the next cycle.,https://zycrypto.com/1-trillion-bull-storm-projected-for-dogecoin-xrp-solana-cardano-shiba-inu-as-traders-lock-in-new-highs/,2025-05-09T14:48:26Z,A Dogecoin trader has flagged an imminent breakout in the assets price this month. This is hinged on bulls maintaining recent pressure past the $0.2 resistance to trigger a larger climb. Projections … [+2133 chars]
Biztoc.com,benzinga.com,"25.74 Trillion Shiba Inu Stuck, As SHIB Trapped In Uncertainty Amid Market Downturn","The cryptocurrency market is witnessing a significant downturn, with Shiba Inu (CRYPTO: SHIB) being notably impacted. 
As per a report, the market has seen liquidations worth $298 million in cryptocurrencies, with Shiba Inu’s value declining by 5.81%.
The dow…",https://biztoc.com/x/a9384ab56c7bdd80,2025-05-18T16:42:56Z,"The cryptocurrency market is witnessing a significant downturn, with Shiba Inu (CRYPTO: SHIB) being notably impacted. As per a report, the market has seen liquidations worth $298 million in cryptocur… [+144 chars]"
GlobeNewswire,Cheems project,"Cheems Memecoin Defies Global Economic Turmoil with Astonishing 3,541% Year-Over-Year Surge","NEW YORK, April 30, 2025 (GLOBE NEWSWIRE) -- In a stunning turn of events amid global financial uncertainty, Cheems ($CHEEMS), a lighthearted memecoin
 inspired by the iconic Shiba Inu character, has skyrocketed by 3,541% over the past year with its market c…",https://www.globenewswire.com/news-release/2025/04/30/3071053/0/en/Cheems-Memecoin-Defies-Global-Economic-Turmoil-with-Astonishing-3-541-Year-Over-Year-Surge.html,2025-04-30T08:24:00Z,"NEW YORK, April 30, 2025 (GLOBE NEWSWIRE) -- In a stunning turn of events amid global financial uncertainty, Cheems ($CHEEMS), a lighthearted memecoin
 inspired by the iconic Shiba Inu character, ha… [+5036 chars]"
ZyCrypto,Guest Author,"Could Ruvi AI (RUVI) Be the Next 100x Crypto Gem Like Shiba? Analysts Predict 20,000% Price Increase During Altcoin Season","Shiba Inu (SHIB) has been a standout star in the meme coin universe, transforming from internet humor into a community-driven cryptocurrency powerhouse. With a current price of $0.00001685 and a market cap of $9.93 billion, SHIB recently grabbed headlines wit…",https://zycrypto.com/could-ruvi-ai-ruvi-be-the-next-100x-crypto-gem-like-shiba-analysts-predict-20000-price-increase-during-altcoin-season/,2025-05-12T19:19:00Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3648 chars]"
ZyCrypto,Guest Author,"Shiba Goes Up 19% in a Month, But Ruvi AI (RUVI) Is Expected to 100x Thanks to Early 100% Bonus","Shiba Inu (SHIB), a community-driven meme cryptocurrency, is trading at $0.0000142 as of today, reflecting its entrenched position among the top cryptocurrencies. Despite recent market fluctuations, Shiba Inu has maintained an impressive global community of 1…",https://zycrypto.com/shiba-inu-shib-goes-up-19-in-a-month-but-ruvi-ai-ruvi-is-expected-to-100x-thanks-to-early-100-bonus/,2025-05-18T21:20:43Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3277 chars]"
ZyCrypto,Guest Author,"BTC above 100k and meme coins surging, best meme coin for x100 potential, Pepe, Shiba, or Pepeto?","Shiba Inu and Pepe have become two of the most recognized meme coins, delivering huge profits to their earliest holders. Shiba Inu shot to fame by turning tiny stakes into massive fortunes, climbing over 80,000,000% from its initial price to its peak, marking…",https://zycrypto.com/btc-above-100k-and-meme-coins-surging-best-meme-coin-for-x100-potential-pepe-shiba-or-pepeto/,2025-05-08T07:33:12Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3201 chars]"
Ambcrypto.com,Gladys Makena,Shiba Inu whale activity collapses 66% – $0.000014 on the line,Whales vanish from Shiba Inu—what does this 66% collapse in activity mean for SHIB’s next move?,https://ambcrypto.com/shiba-inu-whale-activity-collapses-66-0-000014-on-the-line/,2025-05-17T11:00:23Z,"<ul><li>Shiba Inu’s Large Transactions dropped 66.15% in 48 hours, hitting a 2-week low in whale activity.</li><li>If SHIB fails to close above $0.00001478, it could slide further to $0.00001387.</li… [+2686 chars]"
ZyCrypto,Brian Njuguna,"Shiba Inu Whales Move 34 Trillion SHIB to Cold Storage, Signaling All-Time High Blowup",Shiba Inu (SHIB) is witnessing soaring buyer interest in the market due to the springing up of constantly higher lows.,https://zycrypto.com/shiba-inu-whales-move-34-trillion-shib-to-cold-storage-signaling-all-time-high-blowup/,2025-05-28T19:01:08Z,"Shiba Inu (SHIB) is witnessing soaring buyer interest due to the springing up of constantly higher lows.
Higher lows in the market often depict an uptrend or bullish momentum because buyers usually … [+1086 chars]"
Ambcrypto.com,AMBCrypto Team,"SHIB Holder Losses Top 59% Amid Falling Retail Buzz, as Trader Momentum Shifts to XYZVerse and Its 4,988% Rally","As interest in SHIB declines among retail investors, more than half of its holders are […]",https://ambcrypto.com/shib-holder-losses-top-59-amid-falling-retail-buzz-as-trader-momentum-shifts-to-xyzverse-and-its-4988-rally/,2025-05-08T19:45:23Z,"As interest in SHIB declines among retail investors, more than half of its holders are facing losses. Meanwhile, traders are turning their attention to XYZVerse, which has skyrocketed by an astonishi… [+3841 chars]"
ZyCrypto,Brian Njuguna,$0.001 Shiba Inu Price Crazily Expected as Shibarium Hits the 11 Million Block Milestone,"As Shiba Inu (SHIB) enjoys a two-fold increase on the monthly chart, the second-largest meme coin is eyeing a major leg up.",https://zycrypto.com/0-001-shiba-inu-price-crazily-expected-as-shibarium-hits-the-11-million-block-milestone/,2025-05-17T16:53:05Z,"As Shiba Inu (SHIB) enjoys a two-fold increase on the monthly chart, the second-largest meme coin is eyeing a major leg up.
According to crypto analyst Henry, With Shibarium adoption growing and agg… [+1328 chars]"
Biztoc.com,benzinga.com,Shiba Inu Drops 10% In 7 Days: What Is Going On?,"Shiba Inu (CRYPTO: SHIB) is down 10% over the past week but continues to attract bullish forecasts from traders, driven by its aggressive token burn rate and high concentration in whale holdings.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Shib…",https://biztoc.com/x/d544b7e6d4b30df9,2025-05-05T12:26:53Z,"Shiba Inu (CRYPTO: SHIB) is down 10% over the past week but continues to attract bullish forecasts from traders, driven by its aggressive token burn rate and high concentration in whale holdings.Cryp… [+126 chars]"
Biztoc.com,benzinga.com,Shiba Inu Burns 46 Million SHIB In Single Day: What Is Going On?,"Shiba Inu (CRYPTO: SHIB) is showing renewed bullish momentum as consistent token burns and growing adoption of the Shibarium Layer 2 network fuel speculation of an explosive leg higher.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Shiba Inu (CRY…",https://biztoc.com/x/2dc4f20db37aba61,2025-05-14T14:32:52Z,Shiba Inu (CRYPTO: SHIB) is showing renewed bullish momentum as consistent token burns and growing adoption of the Shibarium Layer 2 network fuel speculation of an explosive leg higher.Cryptocurrency… [+137 chars]
ZyCrypto,Guest Author,"As Meme Season Closes, Shiba Inu and Dogecoin Holders Turn to New De-Fi Exchange Presale Mantix","A decentralized exchange, Mantix, currently in its presale stage, has continued to turn heads in the crypto communities. With the declining hype around meme coins, traders are looking beyond the speculative buzz. As trailblazing meme coins, SHIB and DOGE cont…",https://zycrypto.com/as-meme-season-closes-shiba-inu-and-dogecoin-holders-turn-to-new-de-fi-exchange-presale-mantix/,2025-05-24T20:56:27Z,Please wait while your request is being verified...
Biztoc.com,benzinga.com,"XRP, Dogecoin, Shiba Inu Waiting To Pump: 'They Dominate Mindshare, They Can Lead In Culture,' Expert Says","Bitcoin‘s (CRYPTO: BTC) recent surge to an all-time high of $111,900 has reignited discussions about its market dominance and the potential implications for altcoins.
As Bitcoin’s dominance approaches 64%, analysts are closely monitoring whether this trend wi…",https://biztoc.com/x/6bf8019a00f4236c,2025-05-22T18:22:17Z,"Bitcoins (CRYPTO: BTC) recent surge to an all-time high of $111,900 has reignited discussions about its market dominance and the potential implications for altcoins.As Bitcoins dominance approaches 6… [+144 chars]"
Biztoc.com,benzinga.com,Shiba Inu Drops 4%: What Is Going On?,"Despite forming a golden cross, Shiba Inu (CRYPTO: SHIB) is down 4% over the past 24 hours. 
Analysts say the pullback may be temporary, with strong technical signals and long-term bullish fundamentals building beneath the surface.
Cryptocurrency
Price 
Marke…",https://biztoc.com/x/3834fa05ec6dbc1a,2025-05-23T14:12:02Z,"Despite forming a golden cross, Shiba Inu (CRYPTO: SHIB) is down 4% over the past 24 hours. Analysts say the pullback may be temporary, with strong technical signals and long-term bullish fundamental… [+137 chars]"
Coinjournal.net,Hassan Maishera,Bonk vs. PepeX: Which token will deliver a better ROI in 2025?,"Key takeaways  BONK has lost 40% of its value since the start of the year, while $PEPX will deliver a 300% ROI to early investors when it launches on exchanges. The PepeX presale has officially crossed $2.1 million and will enter a new stage once it hits $2.4…",https://coinjournal.net/news/bonk-vs-pepex-who-will-deliver-a-better-roi-in-2025/,2025-05-08T08:28:08Z,"Key takeaways 
<ul><li>BONK has lost 40% of its value since the start of the year, while $PEPX will deliver a 300% ROI to early investors when it launches on exchanges.</li><li>The PepeX presale has… [+3545 chars]"
ZyCrypto,Brian Njuguna,"Shiba Inu Burn Rate Explodes 17,930% as Analysts Cite 17X SHIB Price Rocket to $0.0002","Based on this analysis, Shiba Inu’s strong buy zone is expected to ignite high demand, which will help propel the meme coin to $0.00023.",https://zycrypto.com/shiba-inu-burn-rate-explodes-17930-as-analysts-cite-17x-shib-price-rocket-to-0-0002/,2025-05-23T21:16:42Z,"Thanks to its community-driven movement, Shiba Inu (SHIB) continues to propel the meme coin culture.
As a result, the second-largest meme coin is eyeing a major boost with the psychological price of… [+1555 chars]"
BusinessLine,Vallari Sanzgiri,"CoinSwitch holds 1:1 ratio in total assets of ₹2,764 crore","Following the WazirX attack in 2024, many folks in crypto-space were concerned of losing their assets in case of such hacking. A 1:1 or higher ratio encourages investment in cryptocurrency",https://www.thehindubusinessline.com/money-and-banking/cryptocurrency/coinswitch-holds-11-ratio-in-total-assets-of-2764-crore/article69545934.ece,2025-05-07T05:30:00Z,"CoinSwitch holds 2,764.20 crore in total assets, including crypto holdings and liquid assets, with a reserve buffer of 625.56 crore over user holdings of 2,138.64 crore, as of March 31, 2025, as per … [+1960 chars]"
Coinjournal.net,Diya Poddar,Shiba Inu price up 32% in a month as Trump trade deals and burn data lift momentum,"Trump trade deal boosts overall crypto sentiment. Open Interest reaches $263 million. Analyst predicts SHIB could rise 4x from current levels. Shiba Inu is making a comeback after months of sluggish price action, with data showing a 32% increase over the past…",https://coinjournal.net/news/shiba-inu-price-up-32-in-a-month-as-trump-trade-deals-and-burn-data-lift-momentum/,2025-05-12T11:36:01Z,<ul><li>Trump trade deal boosts overall crypto sentiment.</li><li>Open Interest reaches $263 million.</li><li>Analyst predicts SHIB could rise 4x from current levels.</li></ul>Shiba Inu is making a c… [+2453 chars]
ZyCrypto,Arnold Kirimi,"XRP, Shiba Inu, Cardano, Solana Primed For Eruption as $3 Trillion Crypto Market Shows Altseason Awakening","Bitcoin (BTC) price has climbed above $95,000, XRP, Shiba Inu, Cardano, Solana, and many altcoins have gained roughly 5–13% over the past week​.",https://zycrypto.com/xrp-shiba-inu-cardano-solana-primed-for-eruption-as-3-trillion-crypto-market-shows-altseason-awakening/,2025-05-02T11:13:01Z,"Bitcoin (BTC) price has climbed above $95,000, XRP, Shiba Inu, Cardano, Solana, and many altcoins have gained roughly 513% over the past week. Analytics platform Santiment reports that the total cryp… [+3102 chars]"
Coinjournal.net,Diya Poddar,"Shiba Inu rallies 23%, yet whale exits and RSI trends suggest slowdown","Whale count down to 10,205 from 10,232 in 9 days. SHIB trading between $0.000014 support and $0.0000152 resistance. EMA flattening suggests paused bullish momentum. Shiba Inu (SHIB), the Ethereum-based meme coin, has gained 23% over the past month, reflecting…",https://coinjournal.net/news/shiba-inu-rallies-23-yet-whale-exits-and-rsi-trends-suggest-slowdown/,2025-05-19T11:56:58Z,"<ul><li>Whale count down to 10,205 from 10,232 in 9 days.</li><li>SHIB trading between $0.000014 support and $0.0000152 resistance.</li><li>EMA flattening suggests paused bullish momentum.</li></ul>S… [+3478 chars]"
Coinjournal.net,Collaborations,PepeX vs Shiba Inu: the better bet in 2025,"The cryptocurrency market held firm on Sunday despite a slight dip. Amid this broad market stability, two meme coins are charting very different paths. The PepeX presale is closing in on $2 million in total funding. The cryptocurrency market held firm on Sund…",https://coinjournal.net/news/pepex-vs-shiba-inu-the-better-bet-in-2025/,2025-05-04T05:41:13Z,"<ul><li>The cryptocurrency market held firm on Sunday despite a slight dip.</li><li>Amid this broad market stability, two meme coins are charting very different paths.</li><li>The PepeX presale is cl… [+3535 chars]"
Coinjournal.net,Diya Poddar,"Shiba Inu price rises 24% in 7 days, but short interest hints at reversal risk","Bollinger Band Trend shows shrinking momentum. Long/short ratio falls below 1.0 as shorts gain. Price risks correction toward $0.000010. Shiba Inu (SHIB) has recorded a sharp upswing over the past week, climbing by 24% amid renewed investor appetite for meme …",https://coinjournal.net/news/shiba-inu-price-rises-24-in-7-days-but-short-interest-hints-at-reversal-risk/,2025-05-14T12:59:19Z,<ul><li>Bollinger Band Trend shows shrinking momentum.</li><li>Long/short ratio falls below 1.0 as shorts gain.</li><li>Price risks correction toward $0.000010.</li></ul>Shiba Inu (SHIB) has recorded… [+2962 chars]
Newsweek,Tom Norton,What Is a Meme Coin? Trump's Cryptocurrency Explained,"President Donald Trump will host a private dinner for the first 220 holders of his cryptocurrency meme coin ""TRUMP"" on Thursday",https://www.newsweek.com/what-meme-coin-trump-cryptocurrency-explained-2075918,2025-05-22T17:16:04Z,"President Donald Trump hosts an exclusive dinner today for the first 220 holders of his eponymously named ""TRUMP"" cryptocurrency, a controversial class of cryptocurrency known as a ""meme coin.""
Trum… [+10027 chars]"
Ambcrypto.com,Anjali Sriniwasan,Top 13 memecoins to watch out for in May 2025,Memcoins have become an integral part of the crypto ecosystem. While they started out as […],https://ambcrypto.com/top-13-memecoins-to-watch-out-for-in-may-2025/,2025-05-14T16:40:32Z,"Memcoins have become an integral part of the crypto ecosystem. While they started out as jokes or experiments, they have grown popular, attracting a wider audience and also helping make blockchain te… [+7855 chars]"
ZyCrypto,Aliyu Pokima,Dogecoin Traders Are Going Long: Is A $0.5 DOGE Price Jump On The Horizon?,"Dogecoin (DOGE) bulls are bracing for new highs after on-chain metrics flash green. This comes after consecutive weeks of sideways trading despite attempted bullish resistance. On the broader scale, meme coin sentiments have skyrocketed, leading to an over $1…",https://zycrypto.com/dogecoin-traders-are-going-long-is-a-0-5-doge-price-jump-on-the-horizon/,2025-05-18T14:15:34Z,"Dogecoin (DOGE) bulls are bracing for new highs after on-chain metrics flash green. This comes after consecutive weeks of sideways trading despite attempted bullish resistance. On the broader scale, … [+1918 chars]"
The Times of India,Navdeep Singh,"Bitcoin tops $103,000 as softer US inflation boosts rate cut hopes","Bitcoin surpassed $103,000 as U.S. inflation data eased, fueling hopes for Federal Reserve rate cuts. The crypto market capitalisation increased, with altcoins like Ethereum and Dogecoin leading the gains. Analysts suggest Bitcoin faces resistance at $105,000…",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-news/bitcoin-tops-103000-as-softer-us-inflation-boosts-rate-cut-hopes/articleshow/121159309.cms,2025-05-14T08:57:12Z,"Bitcoin and other major cryptocurrencies traded higher on Wednesday after softer-than-expected U.S. inflation data and easing trade tensions boosted investor sentiment, reviving hopes of interest rat… [+2741 chars]"
The Times of India,ETMarkets.com,"Crypto prices today: Bitcoin trades near $110,000 as geopolitical tensions ease; Altcoins jump up to 5%","Bitcoin hovered near $110,000 on Monday as easing geopolitical tensions and renewed institutional interest lifted crypto markets. The global crypto market cap rose 2% to $3.46 trillion, with Bitcoin up 2.1% and Ethereum gaining 3.6%. Analysts see resistance a…",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-news/crypto-prices-today-bitcoin-trades-near-110000-as-geopolitical-tensions-ease-altcoins-jump-up-to-5/articleshow/121408963.cms,2025-05-26T08:15:17Z,"As of 12:51 PM IST, Bitcoin rose 2.1% to $1,09,993, while Ethereum gained 3.6% to $2,588. The global cryptocurrency market cap climbed 2% to $3.46 trillion.Bitcoin rebounded after the U.S. dialled ba… [+2184 chars]"
ZyCrypto,Newton Gitonga,SHIB Price Explosion Beckons as Shiba Inu Insider Explains Why Solana Projects Should Join Shibarium,"Shiba Inu’s marketing lead, LUCIE, has urged Solana-based projects to consider expanding into Shibarium.",https://zycrypto.com/shib-price-explosion-beckons-as-shiba-inu-insider-explains-why-solana-projects-should-join-shibarium/,2025-05-09T10:30:49Z,"In a bold call to action for cross-chain collaboration, Shiba Inus marketing lead, LUCIE, has urged Solana-based projects to consider expanding into Shibarium.
In a Thursday tweet, the pundit emphas… [+2527 chars]"
