source_name,author,title,description,url,published_at,content,coin_tags
The Times of India,Navdeep Singh,"Bitcoin trades above $106,000 as market shrugs off US credit downgrade; Ethereum, Chainlink jump over 7%","Bitcoin surged past $106,000, driven by Moody’s US credit downgrade, rising institutional adoption, and regulatory developments. JPMorgan enabling Bitcoin purchases and optimism around the GENIUS Act added momentum. Analysts highlight $107,500 as key resistan…",https://economictimes.indiatimes.com/markets/cryptocurrency/bitcoin-trades-above-106000-as-market-shrugs-off-us-credit-downgrade-ethereum-chainlink-jump-over-7/articleshow/121285950.cms,2025-05-20 07:17:14+00:00,"Bitcoin surged past the $106,000 mark on Tuesday, buoyed by rising institutional interest, regulatory developments, and renewed investor appetite for crypto assets amid global economic uncertainty.As… [+2886 chars]",other
CoinDesk,AI Boost,SHIB Jumps Nearly 7% as Bulls Break Through Resistance on Heavy Buying,The popular meme token shows remarkable resilience despite 80% of holders underwater on their investments.,https://www.coindesk.com/markets/2025/05/20/shib-jumps-nearly-7-as-bulls-break-through-resistance-on-heavy-buying,2025-05-20 09:47:10+00:00,"The Shiba Inu token has demonstrated remarkable resilience despite broader market volatility, successfully breaking through key resistance levels while maintaining position above all major moving ave… [+1982 chars]",other
Biztoc.com,coindesk.com,SHIB Jumps Nearly 7% as Bulls Break Through Resistance on Heavy Buying,"The Shiba Inu token has demonstrated remarkable resilience despite broader market volatility, successfully breaking through key resistance levels while maintaining position above all major moving averages, according to CoinDesk Research's technical analysis d…",https://biztoc.com/x/bb25558a2f6373cf,2025-05-20 10:49:12+00:00,"The Shiba Inu token has demonstrated remarkable resilience despite broader market volatility, successfully breaking through key resistance levels while maintaining position above all major moving ave… [+137 chars]",shiba inu
Ambcrypto.com,Gladys Makena,Shiba Inu: 1 trillion SHIB tokens bought: How will prices react?,Shiba Inu buyers are back in the market with both whales and retailers aggressively accumulating.,https://ambcrypto.com/shiba-inu-whales-scoop-1-trillion-tokens-assessing-impact-of-shib-prices/,2025-05-20 13:00:34+00:00,<ul><li>SHIB was experiencing massive demand from whales and retailers.</li><li>Shiba Inu could rally to $0.000017 if the accumulation trend continues.</li></ul>After a period of net seller dominance… [+2995 chars],shiba inu
Newsweek,Melissa Fleur Afshar,Owners Move Home With 'Spoiled' Shiba Inu—Then She Discovers Guest Room,"Zoe McDoom, Boots' owner, told Newsweek: ""She treats it like her own room and puts herself to bed every night.""",https://www.newsweek.com/owners-move-home-spoiled-shiba-inu-2074625,2025-05-20 15:23:44+00:00,"A Shiba Inu named Boots has stolen the hearts of viewers on TikTok after a video showed her claiming the guest room in her owners' new Philadelphia home as her own, prompting laughter and calls for t… [+2252 chars]",shiba inu
Biztoc.com,newsweek.com,Owners Move Home With 'Spoiled' Shiba Inu—Then She Discovers Guest Room,"Voice is AI-generated. Inconsistencies may occur.
A Shiba Inu named Boots has stolen the hearts of viewers on TikTok after a video showed her claiming the guest room in her owners' new Philadelphia home as her own, prompting laughter and calls for the space t…",https://biztoc.com/x/2012adc9c114aa01,2025-05-20 15:27:02+00:00,Voice is AI-generated. Inconsistencies may occur.A Shiba Inu named Boots has stolen the hearts of viewers on TikTok after a video showed her claiming the guest room in her owners' new Philadelphia ho… [+144 chars],shiba inu
ZyCrypto,Guest Author,"Remittix (RTX) Capitalizes On 100x Forecast, Shiba Slips Down 5%, Can It Recover Or Are Bigger Losses On The Table?","Shiba Inu has slipped 5% this week, leaving traders wondering if this is just a dip or the start of something worse. With volume and burn rates declining, SHIB’s momentum appears to be stalling. Meanwhile, Remittix (RTX) is catching fire in the crypto space. …",https://zycrypto.com/remittix-rtx-capitalizes-on-100x-forecast-shiba-slips-down-5-can-it-recover-or-are-bigger-losses-on-the-table/,2025-05-20 16:55:39+00:00,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+5344 chars]",shiba inu
Bitcoinist,Scott Matherson,79.89% Crash In 24 Hours: What’s Going On With The Shiba Inu Burn?,"In a rather unexpected turn of events, the Shiba Inu (SHIB) burn rate has plummeted by a staggering 79.89% in just 24 hours. Once considered the cornerstone of Shiba Inu’s deflationary strategy and a key driver behind the meme coin’s long-term value, this dra…",https://bitcoinist.com/79-89-crash-in-shiba-inu-burn/,2025-05-21 01:00:44+00:00,"In a rather unexpected turn of events, the Shiba Inu (SHIB) burn rate has plummeted by a staggering 79.89% in just 24 hours. Once considered the cornerstone of Shiba Inus deflationary strategy and a … [+3012 chars]",shiba inu
Gadgets360.com,"Radhika Parashar, Siddharth Suvarna","Bitcoin Surges Past $107,000 for First Time Since January as Altcoins Rally","The overall crypto market cap rose by 0.87 percent in the last 24 hours. Bitcoin and Ether, both registered profits on Wednesday, May 21. Dogecoin, Tron, and Avalanche registered gains. Meanwhile, Ripple joined Cardano and Chainlink in clocking losses.",https://www.gadgets360.com/cryptocurrency/news/bitcoin-price-usd-107000-dogecoin-solana-cardano-profits-altcoins-rally-cryptocurrency-market-8468929,2025-05-21 07:27:03+00:00,"Bitcoin, for the first time in four months, surged over the price point of $107,000 (roughly Rs. 91.5 lakh) on Wednesday, May 21. The most expensive crypto asset rose by nearly two percent on global … [+3196 chars]",dogecoin
Biztoc.com,benzinga.com,"Michael Saylor Drops 'Back To The Future' Reference To Promote Bitcoin, Shiba Inu Flaunts Its Own DeLorean Links","Strategy Inc. (NASDAQ:MSTR) Chairman Michael Saylor used the classic DeLorean sports car and the science fiction film franchise “Back to the Future” to advocate for Bitcoin (CRYPTO: BTC) on Tuesday.
What happened: Saylor is known for sharing AI-generated phot…",https://biztoc.com/x/42b703a889421d1e,2025-05-21 07:43:46+00:00,Strategy Inc. (NASDAQ:MSTR) Chairman Michael Saylor used the classic DeLorean sports car and the science fiction film franchise Back to the Future to advocate for Bitcoin (CRYPTO: BTC) on Tuesday.Wha… [+142 chars],shiba inu
CoinDesk,AI Boost,SHIB Spikes Then Reverses Sharply as Whale Activity Turns Bearish,"Shiba Inu’s price swings reveal quick gains and sharp reversals, while on-chain data shows whales reducing exposure, hinting at short-term bearish pressure.",https://www.coindesk.com/markets/2025/05/21/shib-spikes-then-reverses-sharply-as-whale-activity-turns-bearish,2025-05-21 08:35:04+00:00,"Shiba Inu has displayed conflicting market indicators in recent trading sessions. The token initially demonstrated bullish momentum with significant volume support, but this quickly gave way to inten… [+1723 chars]",shiba inu
The Times of India,ET Online,Bitcoin at all-time high: What’s powering the surge and how much is it trading for?,"Bitcoin surged past the $107,500 mark on Wednesday, coming within 2% of its all-time high of $109,114.88. The rally was fuelled by bullish sentiment, institutional inflows, and rising futures activity. Ethereum also climbed, consolidating near $2,580, with an…",https://economictimes.indiatimes.com/news/international/global-trends/bitcoin-at-all-time-high-whats-powering-the-surge-and-how-much-is-it-trading-for/articleshow/121311403.cms,2025-05-21 08:45:59+00:00,"Bitcoin climbed sharply on Wednesday, May 21, inching close to its all-time high. By 11:07 AM IST, the cryptocurrency was trading at $107,647 just 1.42% below its peak of $109,114.88, set earlier thi… [+3311 chars]",other
Biztoc.com,coindesk.com,SHIB Spikes Then Reverses Sharply as Whale Activity Turns Bearish,"Shiba Inu has displayed conflicting market indicators in recent trading sessions. The token initially demonstrated bullish momentum with significant volume support, but this quickly gave way to intense selling pressure. 
Technical analysis reveals SHIB is con…",https://biztoc.com/x/59f1741b2bc037c9,2025-05-21 08:50:17+00:00,"Shiba Inu has displayed conflicting market indicators in recent trading sessions. The token initially demonstrated bullish momentum with significant volume support, but this quickly gave way to inten… [+137 chars]",shiba inu
Latest News in Nigeria & Breaking Naija News 24/7 | LEGIT.NG,Taiwo Owolawi,"Mercy Aigbe: “I Don’t Wish Single Motherhood on Anyone”, Actress Opens Up in Video, Fans Kick",Nollywood actress Mercy Aigbe has said that she doesn't wish for any woman to be a single mother. She said this while recounting her experience and fans reacted.,https://www.legit.ng/entertainment/celebrities/1656027-mercy-aigbe-i-dont-single-motherhood-actress-opens-video-fans-kick/,2025-05-21 09:05:41+00:00,"<ul><li>Nollywood actress Mercy Aigbe is making headlines after she spoke for the umpteenth time about single motherhood</li><li>During a recent interview, the mum of two stated that she doesnt wish … [+5367 chars]",other
GlobeNewswire,Jackbit,Best No Limit Casinos: JACKBIT Rated As Top No Limit Online Casino Site With Huge Winning Limits & Payout,"Experts Tested No Limit Online Casinos Of 2025 And Chose JACKBIT As The Best For Its High Betting Limits, Instant Withdrawals, And Massive Game Selection Experts Tested No Limit Online Casinos Of 2025 And Chose JACKBIT As The Best For Its High Betting Limits,…",https://www.globenewswire.com/news-release/2025/05/21/3085615/0/en/Best-No-Limit-Casinos-JACKBIT-Rated-As-Top-No-Limit-Online-Casino-Site-With-Huge-Winning-Limits-Payout.html,2025-05-21 11:10:00+00:00,"LONDON, May 21, 2025 (GLOBE NEWSWIRE) -- The online casino industry is booming, with players worldwide seeking platforms that offer unrestricted gaming experiences. No limit online casinos are partic… [+17525 chars]",other
ZyCrypto,Guest Author,Pepe Unchained Makes Headlines While Bitcoin Solaris Silently Follows Bitcoin’s Millionaire-Making Path,"In the ever-evolving world of crypto, hype and headlines often draw attention. Pepe Unchained is the latest meme-fueled sensation dominating feeds and trends, making waves across social media with eye-catching momentum. But while meme tokens entertain the cro…",https://zycrypto.com/pepe-unchained-makes-headlines-while-bitcoin-solaris-silently-follows-bitcoins-millionaire-making-path/,2025-05-21 16:30:23+00:00,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+4915 chars]",other
newsBTC,Jake Simmons,Shiba Inu Bulls Roar To Life After Breakout—Next Price Targets,"Shiba Inu (SHIB) printed a textbook-grade inverted head-and-shoulders on the daily chart this spring, and Tuesday’s session shows the pattern has now gone through the full breakout-and-retest sequence flagged by independent analyst Cantonese Cat (@cantonmeow)…",http://www.newsbtc.com/shiba-inu/shiba-inu-bulls-roar-to-life-after-breakout/,2025-05-21 17:30:15+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+3350 chars]",shiba inu
Yahoo Entertainment,Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Grind Up On Tuesday As Traders Hope For 'Red Monday, Green Week'","The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin rebounded to touch $105,000. Institutional adoption continues ...",https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-grind-180116957.html,2025-05-21 18:01:16+00:00,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin re… [+2376 chars]",dogecoin
