source,author,title,description,url,urlToImage,publishedAt,content,coin_tags
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Popcat Surges 17% In A Day — Trader Predicts Explosive Move To $1, Outpacing Dogecoin, Shiba Inu","Popcat (CRYPTO: POPCAT) has jumped 17% in a day, reigniting the meme coin mania as traders expect it to chase meme heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB).
What Happened: Crypto trader Unipcs revealed he’s up seven figures on his Pop…",https://biztoc.com/x/4415f4c3f8d81380,https://biztoc.com/cdn/4415f4c3f8d81380_s.webp,2025-05-08T19:07:45Z,"Popcat (CRYPTO: POPCAT) has jumped 17% in a day, reigniting the meme coin mania as traders expect it to chase meme heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB).What Happened: Cry… [+141 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Ambcrypto.com'}",Akashnath S,Shiba Inu price prediction – What to expect from memecoin after its support fails,Funding rate data revealed that the past few days saw a hike in bearish sentiments,https://ambcrypto.com/shiba-inu-price-prediction-what-to-expect-from-memecoin-after-its-support-fails/,https://ambcrypto.com/wp-content/uploads/2025/05/Shiba-Inu-Featured-1000x600.webp,2025-05-06T06:00:31Z,"<ul><li>Shiba Inu slipped under the mid-range level and did not offer a buying opportunity</li><li>High on-chain activity recently could be a sign of accumulation</li></ul>Shiba Inu [SHIB], at the ti… [+1987 chars]","shiba inu, memecoin"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,"BTC Above 109K Sets The Stage: Best Meme Coin for x100 in This Bull Run – Pepe, Shiba, or Influencer Pepe (INPEPE)?","Shiba Inu and Pepe have risen to fame as two of the most successful meme coins, delivering impressive gains for their earliest supporters. Shiba Inu made global news by transforming small assets into huge windfalls, jumping over 80,000,000% from its starting …",https://zycrypto.com/btc-above-109k-sets-the-stage-best-meme-coin-for-x100-in-this-bull-run-pepe-shiba-or-influencer-pepe-inpepe/,https://zycrypto.com/wp-content/uploads/2025/05/BTC-Above-109K-Sets-The-Stage-Best-Meme-Coin-for-x100-in-This-Bull-Run-–-Pepe-Shiba-or-Influencer-Pepe-INPEPE.jpg,2025-05-22T17:04:44Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3590 chars]",shiba inu
"{'id': None, 'name': 'Foreign Policy'}",Chloe Hadavas,Is American Soft Power Finished?,Joseph Nye’s death marks the end of an era of U.S. foreign policy.,http://foreignpolicy.com/2025/05/11/joseph-nye-death-us-soft-power-trump-era/,https://foreignpolicy.com/wp-content/uploads/2024/09/soft-power-us-attracition-joseph-nye-matt-chase-illustration.jpg?w=1000,2025-05-11T14:00:22Z,"Traditionally the test of a great power was its strength in war. Today, however, the definition of power is losing its emphasis on military force and conquest that marked earlier eras, Joseph Nye, th… [+3465 chars]",other
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Pepe Rallies 40% In 7 Days Outpaces Dogecoin, Shiba Inu: What's Next?","Pepe (CRYPTO: PEPE) has jumped over 40% in the last week, but traders are split on whether this rally has more room to run or if a correction is imminent.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
$0.00001358
$5.7 billion
…",https://biztoc.com/x/d6afa0e58dba6961,https://biztoc.com/cdn/d6afa0e58dba6961_s.webp,2025-05-15T14:42:54Z,"Pepe (CRYPTO: PEPE) has jumped over 40% in the last week, but traders are split on whether this rally has more room to run or if a correction is imminent.CryptocurrencyPrice Market Cap24-Hour Trend7-… [+137 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Fartcoin Leads Meme Coin Rally Ahead Of Dogecoin, Shiba Inu: Is $2 Next?","Fartcoin (CRYPTO: FARTCOIN) is leading the latest meme coin charge, surging 18% in 24 hours, as traders eye a run to $2 in the near term.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Fartcoin (CRYPTO: FARTCOIN)
 $1.53
$1.53 billion
 +17.9%
+19.1…",https://biztoc.com/x/f7a8569f746db980,https://biztoc.com/cdn/f7a8569f746db980_s.webp,2025-05-22T13:06:32Z,"Fartcoin (CRYPTO: FARTCOIN) is leading the latest meme coin charge, surging 18% in 24 hours, as traders eye a run to $2 in the near term.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendFartcoin… [+131 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Floki Jumps 23% In 7 Days: What's Powering The Relative Strength Against Dogecoin, Shiba Inu?","Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key partnerships as drivers.
Cryptocurrency
Price 
Market Cap
24-Ho…",https://biztoc.com/x/ebe41bb320a893b0,https://biztoc.com/cdn/ebe41bb320a893b0_s.webp,2025-04-30T15:13:37Z,"Floki (CRYPTO: FLOKI) is up 7% in the past 24 hours and 23% over the past 30 days, showing notable relative strength, with traders and analysts pointing to bullish momentum, fresh utility and key par… [+138 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Pepe Pops 30%, Leapfrogs Meme Veterans Dogecoin, Shiba Inu In Trading Volume And Momentum","Pepe (CRYPTO: PEPE) has exploded for a 30% gain, triggering a wave of liquidations and whale activity; traders are now eyeing a massive weekend ahead for the meme coin.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
$0.00001252…",https://biztoc.com/x/2f80e236fed55c41,https://biztoc.com/cdn/2f80e236fed55c41_s.webp,2025-05-09T16:22:55Z,"Pepe (CRYPTO: PEPE) has exploded for a 30% gain, triggering a wave of liquidations and whale activity; traders are now eyeing a massive weekend ahead for the meme coin.CryptocurrencyPrice Market Cap2… [+116 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Floki Rallies 16% Outperforming Dogecoin, Shiba Inu: How High Can It Go?","Floki (CRYPTO: FLOKI) has rallied 16% in the last 24 hours for a 39% gain over the past week. Growing hype around the upcoming launch of the Floki ETP is prompting traders to flip bullish.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Floki (CRYP…",https://biztoc.com/x/b95ea56a7d179d07,https://biztoc.com/cdn/b95ea56a7d179d07_s.webp,2025-04-25T12:03:36Z,Floki (CRYPTO: FLOKI) has rallied 16% in the last 24 hours for a 39% gain over the past week. Growing hype around the upcoming launch of the Floki ETP is prompting traders to flip bullish.Cryptocurre… [+139 chars],"dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Dogecoin, Shiba Inu Spike But Floki And Bonk Are Stars Of Monday's Meme Rally","Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.
What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a two-month high of $0.00009044 late in the evening, representi…",https://biztoc.com/x/7e946de0cb534cdb,https://biztoc.com/cdn/930/og.png,2025-04-29T03:26:06Z,"Memecoins were up in the green Monday overnight, with Floki and Bonk leading the charge following Bitcoin's (CRYPTO: BTC) reclaim of $95,000.What happened: Ethereum (CRYPTO: ETH)-based FLOKI hit a tw… [+146 chars]","dogecoin, shiba inu, memecoin"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Scottie Pippen Declares 'Altcoin Season' As Ethereum, XRP, Dogecoin, Shiba Inu Rally","Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narrative.
What Happened: Six-time NBA champion Scottie Pippen j…",https://biztoc.com/x/bfa63930338be30c,https://biztoc.com/cdn/bfa63930338be30c_s.webp,2025-05-12T17:13:04Z,"Altcoins are surging as Bitcoin dominance pulls back, suggesting a renewed flow of capital into Ethereum and the broader altcoin market. Celebrity interest is also heating up, adding fuel to the narr… [+146 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Pepe Up 3% As 'Dogecoin Millionaire' Says It May Become 'The Best Trade Of My Life',"Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Pepe (CRYPTO: PEPE)
 $0.00001497
$6.3 billion
+3% 
+10% 
Dogecoin (CRYPTO: DOGE)
 $0.2374
…",https://biztoc.com/x/3d17b74b51176fc4,https://biztoc.com/cdn/3d17b74b51176fc4_s.webp,2025-05-23T15:51:41Z,Pepe (CRYPTO: PEPE) is drawing serious attention from high-profile traders as its metrics and momentum surge.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendPepe (CRYPTO: PEPE)$0.00001497$6.3 b… [+127 chars],dogecoin
"{'id': None, 'name': 'ZyCrypto'}",Aliyu Pokima,"$1 Trillion Bull Storm Projected for Dogecoin, XRP, Solana, Cardano, Shiba Inu as Traders Lock-In New Highs",Projections for a $1 DOGE price resurface with holders drawing lines with leading altcoins ahead of the next cycle.,https://zycrypto.com/1-trillion-bull-storm-projected-for-dogecoin-xrp-solana-cardano-shiba-inu-as-traders-lock-in-new-highs/,https://zycrypto.com/wp-content/uploads/2024/07/Bitcoin-Ether-XRP-Solana-Cardano-Shiba-Inu-Braced-For-Explosive-4-Trillion-Storm.jpg,2025-05-09T14:48:26Z,A Dogecoin trader has flagged an imminent breakout in the assets price this month. This is hinged on bulls maintaining recent pressure past the $0.2 resistance to trigger a larger climb. Projections … [+2133 chars],"dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"25.74 Trillion Shiba Inu Stuck, As SHIB Trapped In Uncertainty Amid Market Downturn","The cryptocurrency market is witnessing a significant downturn, with Shiba Inu (CRYPTO: SHIB) being notably impacted. 
As per a report, the market has seen liquidations worth $298 million in cryptocurrencies, with Shiba Inu’s value declining by 5.81%.
The dow…",https://biztoc.com/x/a9384ab56c7bdd80,https://biztoc.com/cdn/a9384ab56c7bdd80_s.webp,2025-05-18T16:42:56Z,"The cryptocurrency market is witnessing a significant downturn, with Shiba Inu (CRYPTO: SHIB) being notably impacted. As per a report, the market has seen liquidations worth $298 million in cryptocur… [+144 chars]",shiba inu
"{'id': None, 'name': 'Ambcrypto.com'}",Samyukhtha L KM,Shiba Inu: Here’s how SHIB outlasts its rivals in 2025’s market slump,"Amid whale moves and losses that scream 'lesser of many evils,' SHIB might just make it out with minimal damage.",https://ambcrypto.com/shiba-inu-heres-how-shib-outlasts-its-rivals-in-2025s-downturn/,https://ambcrypto.com/wp-content/uploads/2025/04/Samyukhtha-40-1000x600.webp,2025-04-27T20:00:17Z,"<ul><li>SHIB outperformed most memecoins in 2025, showing resilience, with just 33% YTD losses.</li><li>Whale activity and rising social buzz hint at growing support behind SHIBs recent price recover… [+2420 chars]",shiba inu
"{'id': None, 'name': 'Ambcrypto.com'}",Erastus Chami,"Shiba Inu’s 1,361% burn spike – Just a ‘flash in the pan’ moment?","Shiba Inu sees rising on-chain activity, but market imbalance may threaten breakout hopes.",https://ambcrypto.com/shiba-inus-1361-burn-spike-just-a-flash-in-the-pan-moment/,https://ambcrypto.com/wp-content/uploads/2025/04/Erastus-2025-04-24T151932.984-min-1000x600.png,2025-04-24T22:00:56Z,<ul><li>SHIBs burn rate spike and address growth hint at renewed user-driven momentum.</li><li>Shiba Inu’s Exchange Inflows and long liquidations expose risk despite bullish technical formation.</li>… [+2830 chars],shiba inu
"{'id': None, 'name': 'GlobeNewswire'}",Cheems project,"Cheems Memecoin Defies Global Economic Turmoil with Astonishing 3,541% Year-Over-Year Surge","NEW YORK, April 30, 2025 (GLOBE NEWSWIRE) -- In a stunning turn of events amid global financial uncertainty, Cheems ($CHEEMS), a lighthearted memecoin
 inspired by the iconic Shiba Inu character, has skyrocketed by 3,541% over the past year with its market c…",https://www.globenewswire.com/news-release/2025/04/30/3071053/0/en/Cheems-Memecoin-Defies-Global-Economic-Turmoil-with-Astonishing-3-541-Year-Over-Year-Surge.html,https://ml.globenewswire.com/Resource/Download/25c6d46a-358b-4618-a16d-a827a1af5aa5,2025-04-30T08:24:00Z,"NEW YORK, April 30, 2025 (GLOBE NEWSWIRE) -- In a stunning turn of events amid global financial uncertainty, Cheems ($CHEEMS), a lighthearted memecoin
 inspired by the iconic Shiba Inu character, ha… [+5036 chars]","shiba inu, memecoin"
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,"Could Ruvi AI (RUVI) Be the Next 100x Crypto Gem Like Shiba? Analysts Predict 20,000% Price Increase During Altcoin Season","Shiba Inu (SHIB) has been a standout star in the meme coin universe, transforming from internet humor into a community-driven cryptocurrency powerhouse. With a current price of $0.00001685 and a market cap of $9.93 billion, SHIB recently grabbed headlines wit…",https://zycrypto.com/could-ruvi-ai-ruvi-be-the-next-100x-crypto-gem-like-shiba-analysts-predict-20000-price-increase-during-altcoin-season/,https://zycrypto.com/wp-content/uploads/2025/05/Could-Ruvi-AI-RUVI-Be-the-Next-100x-Crypto-Gem-Like-Shiba-Analysts-Predict-20000-Price-Increase-During-Altcoin-Season.jpg,2025-05-12T19:19:00Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3648 chars]",shiba inu
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,"Shiba Goes Up 19% in a Month, But Ruvi AI (RUVI) Is Expected to 100x Thanks to Early 100% Bonus","Shiba Inu (SHIB), a community-driven meme cryptocurrency, is trading at $0.0000142 as of today, reflecting its entrenched position among the top cryptocurrencies. Despite recent market fluctuations, Shiba Inu has maintained an impressive global community of 1…",https://zycrypto.com/shiba-inu-shib-goes-up-19-in-a-month-but-ruvi-ai-ruvi-is-expected-to-100x-thanks-to-early-100-bonus/,https://zycrypto.com/wp-content/uploads/2025/05/Could-Ruvi-AI-RUVI-Be-the-Next-100x-Crypto-Gem-Like-Shiba-Analysts-Predict-20000-Price-Increase-During-Altcoin-Season.jpg,2025-05-18T21:20:43Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3277 chars]",shiba inu
"{'id': None, 'name': 'ZyCrypto'}",Guest Author,"BTC above 100k and meme coins surging, best meme coin for x100 potential, Pepe, Shiba, or Pepeto?","Shiba Inu and Pepe have become two of the most recognized meme coins, delivering huge profits to their earliest holders. Shiba Inu shot to fame by turning tiny stakes into massive fortunes, climbing over 80,000,000% from its initial price to its peak, marking…",https://zycrypto.com/btc-above-100k-and-meme-coins-surging-best-meme-coin-for-x100-potential-pepe-shiba-or-pepeto/,https://zycrypto.com/wp-content/uploads/2025/01/Will-PEPETO-Take-Over-as-BTC-and-ETH-ETFs-See-Massive-Outflows.jpg,2025-05-08T07:33:12Z,"Disclaimer: The below article is sponsored, and the views in it do not represent those of ZyCrypto. Readers should conduct independent research before taking any actions related to the project mentio… [+3201 chars]",shiba inu
"{'id': None, 'name': 'Ambcrypto.com'}",Gladys Makena,Shiba Inu whale activity collapses 66% – $0.000014 on the line,Whales vanish from Shiba Inu—what does this 66% collapse in activity mean for SHIB’s next move?,https://ambcrypto.com/shiba-inu-whale-activity-collapses-66-0-000014-on-the-line/,https://ambcrypto.com/wp-content/uploads/2025/05/Gladys-49-1000x600.jpg,2025-05-17T11:00:23Z,"<ul><li>Shiba Inu’s Large Transactions dropped 66.15% in 48 hours, hitting a 2-week low in whale activity.</li><li>If SHIB fails to close above $0.00001478, it could slide further to $0.00001387.</li… [+2686 chars]",shiba inu
"{'id': None, 'name': 'Ambcrypto.com'}",AMBCrypto Team,"SHIB Holder Losses Top 59% Amid Falling Retail Buzz, as Trader Momentum Shifts to XYZVerse and Its 4,988% Rally","As interest in SHIB declines among retail investors, more than half of its holders are […]",https://ambcrypto.com/shib-holder-losses-top-59-amid-falling-retail-buzz-as-trader-momentum-shifts-to-xyzverse-and-its-4988-rally/,https://ambcrypto.com/wp-content/uploads/2025/05/Screenshot-2025-05-09-011156.png,2025-05-08T19:45:23Z,"As interest in SHIB declines among retail investors, more than half of its holders are facing losses. Meanwhile, traders are turning their attention to XYZVerse, which has skyrocketed by an astonishi… [+3841 chars]",other
"{'id': None, 'name': 'ZyCrypto'}",Brian Njuguna,$0.001 Shiba Inu Price Crazily Expected as Shibarium Hits the 11 Million Block Milestone,"As Shiba Inu (SHIB) enjoys a two-fold increase on the monthly chart, the second-largest meme coin is eyeing a major leg up.",https://zycrypto.com/0-001-shiba-inu-price-crazily-expected-as-shibarium-hits-the-11-million-block-milestone/,https://zycrypto.com/wp-content/uploads/2024/04/0.001-SHIB-Price-Earthquake-Looks-Nigh-As-Shiba-Inu-Secures-12-Million-For-Its-New-Blockchain.jpg,2025-05-17T16:53:05Z,"As Shiba Inu (SHIB) enjoys a two-fold increase on the monthly chart, the second-largest meme coin is eyeing a major leg up.
According to crypto analyst Henry, With Shibarium adoption growing and agg… [+1328 chars]",shiba inu
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Shiba Inu Drops 10% In 7 Days: What Is Going On?,"Shiba Inu (CRYPTO: SHIB) is down 10% over the past week but continues to attract bullish forecasts from traders, driven by its aggressive token burn rate and high concentration in whale holdings.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Shib…",https://biztoc.com/x/d544b7e6d4b30df9,https://biztoc.com/cdn/d544b7e6d4b30df9_s.webp,2025-05-05T12:26:53Z,"Shiba Inu (CRYPTO: SHIB) is down 10% over the past week but continues to attract bullish forecasts from traders, driven by its aggressive token burn rate and high concentration in whale holdings.Cryp… [+126 chars]",shiba inu
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Shiba Inu Burns 46 Million SHIB In Single Day: What Is Going On?,"Shiba Inu (CRYPTO: SHIB) is showing renewed bullish momentum as consistent token burns and growing adoption of the Shibarium Layer 2 network fuel speculation of an explosive leg higher.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Shiba Inu (CRY…",https://biztoc.com/x/2dc4f20db37aba61,https://biztoc.com/cdn/2dc4f20db37aba61_s.webp,2025-05-14T14:32:52Z,Shiba Inu (CRYPTO: SHIB) is showing renewed bullish momentum as consistent token burns and growing adoption of the Shibarium Layer 2 network fuel speculation of an explosive leg higher.Cryptocurrency… [+137 chars],shiba inu
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"XRP, Dogecoin, Shiba Inu Waiting To Pump: 'They Dominate Mindshare, They Can Lead In Culture,' Expert Says","Bitcoin‘s (CRYPTO: BTC) recent surge to an all-time high of $111,900 has reignited discussions about its market dominance and the potential implications for altcoins.
As Bitcoin’s dominance approaches 64%, analysts are closely monitoring whether this trend wi…",https://biztoc.com/x/6bf8019a00f4236c,https://biztoc.com/cdn/6bf8019a00f4236c_s.webp,2025-05-22T18:22:17Z,"Bitcoins (CRYPTO: BTC) recent surge to an all-time high of $111,900 has reignited discussions about its market dominance and the potential implications for altcoins.As Bitcoins dominance approaches 6… [+144 chars]","dogecoin, shiba inu"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Shiba Inu Drops 4%: What Is Going On?,"Despite forming a golden cross, Shiba Inu (CRYPTO: SHIB) is down 4% over the past 24 hours. 
Analysts say the pullback may be temporary, with strong technical signals and long-term bullish fundamentals building beneath the surface.
Cryptocurrency
Price 
Marke…",https://biztoc.com/x/3834fa05ec6dbc1a,https://biztoc.com/cdn/3834fa05ec6dbc1a_s.webp,2025-05-23T14:12:02Z,"Despite forming a golden cross, Shiba Inu (CRYPTO: SHIB) is down 4% over the past 24 hours. Analysts say the pullback may be temporary, with strong technical signals and long-term bullish fundamental… [+137 chars]",shiba inu
"{'id': None, 'name': 'Ambcrypto.com'}",Erastus Chami,"Shiba Inu burn rate surges 3,084% – Should traders expect a rally?","Despite the burn surge, lower market activity and rising reserves may hinder SHIB's short-term price action.",https://ambcrypto.com/shiba-inu-burn-rate-surges-3084-should-traders-expect-a-rally/,https://ambcrypto.com/wp-content/uploads/2025/04/Erastus-2025-04-28T093009.651-min-1000x600.png,2025-04-28T13:00:55Z,"<ul><li>SHIBs burn rate surged by 3084.6%, significantly reducing the circulating supply.</li><li>On-chain activity and exchange metrics suggest reduced market engagement and growing reserves.</li></… [+3670 chars]",shiba inu
"{'id': None, 'name': 'Coinjournal.net'}",Hassan Maishera,Bonk vs. PepeX: Which token will deliver a better ROI in 2025?,"Key takeaways  BONK has lost 40% of its value since the start of the year, while $PEPX will deliver a 300% ROI to early investors when it launches on exchanges. The PepeX presale has officially crossed $2.1 million and will enter a new stage once it hits $2.4…",https://coinjournal.net/news/bonk-vs-pepex-who-will-deliver-a-better-roi-in-2025/,https://coinjournal.net/wp-content/uploads/2025/05/bonk.png,2025-05-08T08:28:08Z,"Key takeaways 
<ul><li>BONK has lost 40% of its value since the start of the year, while $PEPX will deliver a 300% ROI to early investors when it launches on exchanges.</li><li>The PepeX presale has… [+3545 chars]",other
"{'id': None, 'name': 'ZyCrypto'}",Brian Njuguna,"Shiba Inu Burn Rate Explodes 17,930% as Analysts Cite 17X SHIB Price Rocket to $0.0002","Based on this analysis, Shiba Inu’s strong buy zone is expected to ignite high demand, which will help propel the meme coin to $0.00023.",https://zycrypto.com/shiba-inu-burn-rate-explodes-17930-as-analysts-cite-17x-shib-price-rocket-to-0-0002/,https://zycrypto.com/wp-content/uploads/2024/04/0.001-SHIB-Price-Earthquake-Looks-Nigh-As-Shiba-Inu-Secures-12-Million-For-Its-New-Blockchain.jpg,2025-05-23T21:16:42Z,"Thanks to its community-driven movement, Shiba Inu (SHIB) continues to propel the meme coin culture.
As a result, the second-largest meme coin is eyeing a major boost with the psychological price of… [+1555 chars]",shiba inu
"{'id': None, 'name': 'BusinessLine'}",Vallari Sanzgiri,"CoinSwitch holds 1:1 ratio in total assets of ₹2,764 crore","Following the WazirX attack in 2024, many folks in crypto-space were concerned of losing their assets in case of such hacking. A 1:1 or higher ratio encourages investment in cryptocurrency",https://www.thehindubusinessline.com/money-and-banking/cryptocurrency/coinswitch-holds-11-ratio-in-total-assets-of-2764-crore/article69545934.ece,https://bl-i.thgim.com/public/incoming/c3mswf/article69512959.ece/alternates/LANDSCAPE_1200/IMG_bl29_crypto_pic_2_1_RCD4C4A5.jpg,2025-05-07T05:30:00Z,"CoinSwitch holds 2,764.20 crore in total assets, including crypto holdings and liquid assets, with a reserve buffer of 625.56 crore over user holdings of 2,138.64 crore, as of March 31, 2025, as per … [+1960 chars]",other
"{'id': None, 'name': 'Coinjournal.net'}",Diya Poddar,Shiba Inu price up 32% in a month as Trump trade deals and burn data lift momentum,"Trump trade deal boosts overall crypto sentiment. Open Interest reaches $263 million. Analyst predicts SHIB could rise 4x from current levels. Shiba Inu is making a comeback after months of sluggish price action, with data showing a 32% increase over the past…",https://coinjournal.net/news/shiba-inu-price-up-32-in-a-month-as-trump-trade-deals-and-burn-data-lift-momentum/,https://coinjournal.net/wp-content/uploads/2025/05/image-37.png,2025-05-12T11:36:01Z,<ul><li>Trump trade deal boosts overall crypto sentiment.</li><li>Open Interest reaches $263 million.</li><li>Analyst predicts SHIB could rise 4x from current levels.</li></ul>Shiba Inu is making a c… [+2453 chars],shiba inu
"{'id': None, 'name': 'ZyCrypto'}",Arnold Kirimi,"XRP, Shiba Inu, Cardano, Solana Primed For Eruption as $3 Trillion Crypto Market Shows Altseason Awakening","Bitcoin (BTC) price has climbed above $95,000, XRP, Shiba Inu, Cardano, Solana, and many altcoins have gained roughly 5–13% over the past week​.",https://zycrypto.com/xrp-shiba-inu-cardano-solana-primed-for-eruption-as-3-trillion-crypto-market-shows-altseason-awakening/,https://zycrypto.com/wp-content/uploads/2024/06/XRP-Shiba-Inu-Cardano-ETFs-to-Reach-SECs-Table-Soon-As-Solana-Makes-Headway-Into-Wall-Street.jpg,2025-05-02T11:13:01Z,"Bitcoin (BTC) price has climbed above $95,000, XRP, Shiba Inu, Cardano, Solana, and many altcoins have gained roughly 513% over the past week. Analytics platform Santiment reports that the total cryp… [+3102 chars]",shiba inu
"{'id': None, 'name': 'Coinjournal.net'}",Diya Poddar,"Shiba Inu rallies 23%, yet whale exits and RSI trends suggest slowdown","Whale count down to 10,205 from 10,232 in 9 days. SHIB trading between $0.000014 support and $0.0000152 resistance. EMA flattening suggests paused bullish momentum. Shiba Inu (SHIB), the Ethereum-based meme coin, has gained 23% over the past month, reflecting…",https://coinjournal.net/news/shiba-inu-rallies-23-yet-whale-exits-and-rsi-trends-suggest-slowdown/,https://coinjournal.net/wp-content/uploads/2025/05/image-60.png,2025-05-19T11:56:58Z,"<ul><li>Whale count down to 10,205 from 10,232 in 9 days.</li><li>SHIB trading between $0.000014 support and $0.0000152 resistance.</li><li>EMA flattening suggests paused bullish momentum.</li></ul>S… [+3478 chars]",shiba inu
