,source,author,title,description,url,urlToImage,publishedAt,content,coin_tags,title_sentiment,description_sentiment,combined_sentiment
0,"{'id': None, 'name': 'Yahoo Entertainment'}",Bibhu Pattnaik,Forget Dogecoin And Shiba Inu — Crypto Analyst Sees This Coin Surging 100%,"A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB...",https://finance.yahoo.com/news/forget-dogecoin-shiba-inu-crypto-200209860.html,https://media.zenfs.com/en/benzinga_79/e6e8f4d70363567dcdafaee1d154aca4,2025-04-28T20:02:09Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
A crypto analyst has forecasted a 100% increase for Pepe (CRYPTO: PEPE), a mid-cap competitor to … [+2111 chars]","dogecoin, shiba inu",-0.2263,0.3182,0.04594999999999999
1,"{'id': None, 'name': 'CoinDesk'}",Omkar Godbole,"Shiba Inu Breaks Free From Downtrend as Bitcoin Eyes $100K, Dogecoin Sees Accumulation Around 18 Cents",Check what HUMINT and TECHINT has to say about the price trajectory of BTC and major meme coins.,https://www.coindesk.com/markets/2025/04/25/shiba-inu-breaks-free-from-downtrend-dogecoin-sees-accumulation-around-18-cents,https://cdn.sanity.io/images/s3y3vcno/production/5516ffa9b809126c39612f0ace496ff4562a9989-1500x814.png?auto=format,2025-04-25T13:03:46Z,"Bitcoin's (BTC) recent uptrend has likely set the stage for a six-figure price mark, catalyzing increased trading activity in the memecoin sector, where DOGE and SHIB are seeing bullish activity.
BT… [+2144 chars]","dogecoin, shiba inu",0.5106,0.0,0.2553
2,"{'id': None, 'name': 'Yahoo Entertainment'}",Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Grind Up On Tuesday As Traders Hope For 'Red Monday, Green Week'","The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin rebounded to touch $105,000. Institutional adoption continues ...",https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-grind-180116957.html,https://media.zenfs.com/en/benzinga_79/f96605110159f4c82953a97a2ebfeb7f,2025-05-21T18:01:16Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
The crypto market opened the week with volatility but is showing signs of strength, as Bitcoin re… [+2376 chars]",dogecoin,0.4404,0.6486,0.5445
3,"{'id': None, 'name': 'Yahoo Entertainment'}",Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Open Green As China Announces Liquidity Injection Ahead Of Fed Interest Rate Decision","Major cryptocurrencies are seeing a green start to the week, buoyed by improving macro sentiment as markets await today's FOMC decision and ongoing U.S...",https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-open-204350151.html,https://media.zenfs.com/en/benzinga_79/c54815fabd9b2d70f8350c6a92cd96d6,2025-05-07T20:43:50Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
Major cryptocurrencies are seeing a green start to the week, buoyed by improving macro sentiment … [+3432 chars]",dogecoin,0.4588,0.4939,0.47635
4,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,Why Is Dogecoin And Shiba Inu Surging Today?,"Dogecoin and Shiba Inu are surging today, providing a bullish outlook for the foremost meme coins, which have traded sideways for a while now. This price surge has come following developments on the macro side, which have provided some form of market clarity.…",https://bitcoinist.com/dogecoin-and-shiba-inu-surging/,https://bitcoinist.com/wp-content/uploads/2025/05/Dogecoin-from-iStock-2.jpg,2025-05-09T04:36:55Z,"Dogecoin and Shiba Inu are surging today, providing a bullish outlook for the foremost meme coins, which have traded sideways for a while now. This price surge has come following developments on the … [+2666 chars]","dogecoin, shiba inu",0.0,0.0,0.0
5,"{'id': None, 'name': 'newsBTC'}",Scott Matherson,Analyst Says This Dogecoin And Shiba Inu Contender Could See ‘Impulsive Move’,"Dogecoin and Shiba Inu remain the top leaders when it comes to meme coins, but others have been creeping up as fierce contenders over time. Back in 2021, when the original meme coin bull run started, the likes of FLOKI had crept up from the shadows to also be…",http://www.newsbtc.com/meme-coins/dogecoin-shiba-inu-contender/,https://www.newsbtc.com/wp-content/uploads/2024/08/GVRN4TqXEAAVZm0.jpg?fit=1920%2C1076,2025-05-23T07:00:59Z,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+2632 chars]","dogecoin, shiba inu",0.128,0.7935,0.46075
6,"{'id': None, 'name': 'Bitcoinist'}",Scott Matherson,This Dogecoin Rival Is Set For An Over 100% Pump – It’s Not Shiba Inu,"Crypto analyst The Alchemist has predicted that the Dogecoin rival Baby Doge is set for a price surge of over 100%. The analyst highlighted a bullish pattern for the meme coin, which could spark this price surge while other meme coins like Shiba Inu remain in…",https://bitcoinist.com/dogecoin-rival-100-pump/,https://bitcoinist.com/wp-content/uploads/2025/05/Dogecoin-from-Getty-Images-12.jpg,2025-05-02T04:45:57Z,"Crypto analyst The Alchemist has predicted that the Dogecoin rival Baby Doge is set for a price surge of over 100%. The analyst highlighted a bullish pattern for the meme coin, which could spark this… [+3028 chars]","dogecoin, shiba inu",0.0,0.5267,0.26335
7,"{'id': None, 'name': 'Yahoo Entertainment'}",Khyathi Dalal,"Bitcoin, Ethereum, XRP, Dogecoin Down As Sentiment Turns To Greed",Major cryptocurrencies are trading lower in early Thursday hours despite ongoing institutional demand and cooling inflation data. Sentiment has shifted...,https://finance.yahoo.com/news/bitcoin-ethereum-xrp-dogecoin-down-213158969.html,https://media.zenfs.com/en/benzinga_79/5621291d868a1c8d086f527d2f2ab6dd,2025-05-16T21:31:58Z,"Benzinga and Yahoo Finance LLC may earn commission or revenue on some items through the links below.
Major cryptocurrencies are trading lower in early Thursday hours despite ongoing institutional de… [+3213 chars]",dogecoin,-0.4019,-0.2095,-0.30569999999999997
8,"{'id': None, 'name': 'The Daily Hodl'}",Mark Emem,"Trader Says Dogecoin and Shiba Inu Rival Mirroring 2024 Pattern That Led to 370%+ Surge, Predicts 2x Rally","A widely followed crypto analyst and trader is leaning bullish on a mid-cap Dogecoin (DOGE) and Shiba Inu (SHIB) competitor. Pseudonymous analyst Altcoin Sherpa tells his 244,900 followers on the social media platform X that Pepe (PEPE) memecoin is primed to …",https://dailyhodl.com/2025/04/26/trader-says-dogecoin-and-shiba-inu-rival-mirroring-2024-pattern-that-led-to-370-surge-predicts-2x-rally/,https://dailyhodl.com/wp-content/uploads/2025/04/Rival-Mirroring-2024-Pattern.jpg,2025-04-26T13:30:11Z,"A widely followed crypto analyst and trader is leaning bullish on a mid-cap Dogecoin (DOGE) and Shiba Inu (SHIB) competitor.
Pseudonymous analyst Altcoin Sherpa tells his 244,900 followers on the so… [+1416 chars]","dogecoin, shiba inu, memecoin",0.0,0.0,0.0
9,"{'id': None, 'name': 'Biztoc.com'}",coindesk.com,"Shiba Inu Breaks Free From Downtrend as Bitcoin Eyes $100K, Dogecoin Sees Accumulation Around 18 Cents","Bitcoin's (BTC) recent uptrend has likely set the stage for a six-figure price mark, catalyzing increased trading activity in the memecoin sector, where DOGE and SHIB are seeing bullish activity.
BTC, the leading cryptocurrency by market value, briefly topped…",https://biztoc.com/x/26f9114ec259c9bb,https://biztoc.com/cdn/26f9114ec259c9bb_s.webp,2025-04-25T13:53:48Z,"Bitcoin's (BTC) recent uptrend has likely set the stage for a six-figure price mark, catalyzing increased trading activity in the memecoin sector, where DOGE and SHIB are seeing bullish activity.BTC,… [+143 chars]","dogecoin, shiba inu, memecoin",0.5106,0.5423,0.5264500000000001
10,"{'id': None, 'name': 'newsBTC'}",Scott Matherson,"Shiba Inu Price Closes 3rd Consecutive Green Week, Why This Analyst Predicts 1,479% Surge To ATHs","Despite not being in the spotlight recently like its counterpart Dogecoin, the Shiba Inu price has managed to exceed expectations and close three consecutive green weeks. The meme coin is showing signs of bullish continuation after a long stretch of consolida…",http://www.newsbtc.com/shiba-inu/shiba-inu-price-green-week/,https://www.newsbtc.com/wp-content/uploads/2024/06/Shiba-Inu-1.jpeg?fit=1792%2C1024,2025-04-28T06:00:45Z,"Scott Matherson is a prominent crypto writer at NewsBTC with a knack for capturing the pulse of the market, covering pivotal shifts, technological advancements, and regulatory changes with precision.… [+3106 chars]","dogecoin, shiba inu",0.0,0.3612,0.1806
11,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,'Dogecoin Killer' Shiba Inu Jumps 6%: What Is Going On?,"Shiba Inu's (CRYPTO: SHIB) significant rally over the past seven days and a new Shibarium DappStore launch could lead to a bullish run for the meme coin, traders are speculating.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Shiba Inu (CRYPTO: SH…",https://biztoc.com/x/23807b8e72d3ea30,https://biztoc.com/cdn/23807b8e72d3ea30_s.webp,2025-04-25T13:42:59Z,"Shiba Inu's (CRYPTO: SHIB) significant rally over the past seven days and a new Shibarium DappStore launch could lead to a bullish run for the meme coin, traders are speculating.CryptocurrencyPrice M… [+130 chars]","dogecoin, shiba inu",-0.6486,0.2023,-0.22314999999999996
12,"{'id': None, 'name': 'ZyCrypto'}",Olivia Brooke,"How Altcoins Exiting Exchanges Could Trigger the Next Boom for Ether, XRP, Solana, Cardano, Shiba Inu","Altcoins are preparing for a rally, and coins like Ether, XRP, Solana, Dogecoin, Cardano, and Shiba Inu are primed for a massive price surge.",https://zycrypto.com/how-altcoins-exiting-exchanges-could-trigger-the-next-boom-for-ether-xrp-solana-cardano-shiba-inu/,https://zycrypto.com/wp-content/uploads/2024/03/Altcoins-Are-About-to-Explode-—-Analyst-Prediction-For-Ether-Solana-XRP-Cardano-Shiba-Inu-PEPE.jpg,2025-05-23T17:33:29Z,"Altcoins are preparing for a rally, and as market participants observed, alternative coins like Ether, XRP, Solana, Dogecoin, Cardano, and Shiba Inu are primed for a massive price surge in the coming… [+1908 chars]","dogecoin, shiba inu",0.0,0.3612,0.1806
13,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Fartcoin Soars 10% In A Week, Outshining Dogecoin, Shiba Inu","Fartcoin (CRYPTO: FARTCOIN) is turning heads with a 10% rally over the past week, leaving meme coin heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) trailing behind.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Fartcoin
 $1.21
$…",https://biztoc.com/x/7ab0002a0ec43197,https://biztoc.com/cdn/930/og.png,2025-05-02T15:33:46Z,"Fartcoin (CRYPTO: FARTCOIN) is turning heads with a 10% rally over the past week, leaving meme coin heavyweights Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) trailing behind.CryptocurrencyPri… [+132 chars]","dogecoin, shiba inu",0.0,0.0,0.0
14,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Shiba Inu Surges 5%, Burn Rate Explodes 4,833%: Has The Golden Bull Run Started?","Shiba Inu (CRYPTO: SHIB) has seen a dramatic jump in its burn rate alongside a 5% price spike, prompting traders to predict a renewed bull run.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.1841
$27.5 billion
+6.7%
+2.8…",https://biztoc.com/x/40bbc5210fe0b73f,https://biztoc.com/cdn/40bbc5210fe0b73f_s.webp,2025-05-08T13:17:11Z,"Shiba Inu (CRYPTO: SHIB) has seen a dramatic jump in its burn rate alongside a 5% price spike, prompting traders to predict a renewed bull run.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendDo… [+127 chars]","dogecoin, shiba inu",0.0,0.0,0.0
15,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Surges 5%: What Is Going On?,"Dogecoin (CRYPTO: DOGE) is up almost 5% on Thursday and bullish technical signals could extend the rally.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.1788
$26.7 billion
+4.9%
+2%
Shiba Inu (CRYPTO: SHIB)
$0.00001350
$…",https://biztoc.com/x/1e770a40788cd188,https://biztoc.com/cdn/1e770a40788cd188_s.webp,2025-05-01T15:20:27Z,Dogecoin (CRYPTO: DOGE) is up almost 5% on Thursday and bullish technical signals could extend the rally.CryptocurrencyPrice Market Cap24-Hour Trend7-Day TrendDogecoin (CRYPTO: DOGE)$0.1788$26.7 bill… [+131 chars],"dogecoin, shiba inu",0.0,0.1779,0.08895
16,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Dogecoin, Shiba Inu Surge Over 25% In 7 Days: What Is Going On?","Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) have posted strong gains over the past week, rallying more than 25% as Bitcoin hovers near all-time highs, fueling momentum across the meme coin sector.
Cryptocurrency
Price 
24-Hour Trend
7-Day Trend
Dogec…",https://biztoc.com/x/1eeb4a130f6ef1ec,https://biztoc.com/cdn/1eeb4a130f6ef1ec_s.webp,2025-05-13T16:58:19Z,"Dogecoin (CRYPTO: DOGE) and Shiba Inu (CRYPTO: SHIB) have posted strong gains over the past week, rallying more than 25% as Bitcoin hovers near all-time highs, fueling momentum across the meme coin s… [+125 chars]","dogecoin, shiba inu",0.0,0.6908,0.3454
17,"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,Dogecoin Teases 'Diamond Bottom' Reversal: Is A Breakout Imminent?,"After a stretch of muted price action, Dogecoin (CRYPTO: DOGE) may be gearing up for a trend reversal, cushioned by positive ecosystem developments.
Cryptocurrency
Price 
Market Cap
24-Hour Trend
7-Day Trend
Dogecoin (CRYPTO: DOGE)
$0.1672
$24.9 billion
-2.2%…",https://biztoc.com/x/03dbf62fcfa049c4,https://biztoc.com/cdn/03dbf62fcfa049c4_s.webp,2025-05-06T19:04:21Z,"After a stretch of muted price action, Dogecoin (CRYPTO: DOGE) may be gearing up for a trend reversal, cushioned by positive ecosystem developments.CryptocurrencyPrice Market Cap24-Hour Trend7-Day Tr… [+134 chars]",dogecoin,0.0516,0.5574,0.3045
